DATE,ATNHPIUS48015A
1986-01-01,73.39
1987-01-01,65.62
1988-01-01,.
1989-01-01,62.86
1990-01-01,65.56
1991-01-01,68.49
1992-01-01,66.99
1993-01-01,71.26
1994-01-01,76.66
1995-01-01,82.39
1996-01-01,84.71
1997-01-01,87.35
1998-01-01,90.93
1999-01-01,95.22
2000-01-01,100.00
2001-01-01,108.01
2002-01-01,112.70
2003-01-01,116.16
2004-01-01,120.77
2005-01-01,127.69
2006-01-01,137.35
2007-01-01,148.96
2008-01-01,150.37
2009-01-01,153.50
2010-01-01,147.77
2011-01-01,144.17
2012-01-01,146.91
2013-01-01,148.99
2014-01-01,158.52
2015-01-01,167.61
2016-01-01,174.66
2017-01-01,185.91
2018-01-01,190.97
2019-01-01,204.38
2020-01-01,210.53
2021-01-01,229.40
