"All-Transactions House Price Index for Los Angeles County, CA",
DATE,ATNHPIUS06037A
1/1/1975,18.43
1/1/1976,21.42
1/1/1977,25.71
1/1/1978,30.38
1/1/1979,35.66
1/1/1980,41.68
1/1/1981,45.23
1/1/1982,43.23
1/1/1983,47.45
1/1/1984,48.89
1/1/1985,51.68
1/1/1986,55.36
1/1/1987,61.24
1/1/1988,74.16
1/1/1989,92.34
1/1/1990,96.96
1/1/1991,95.32
1/1/1992,93.45
1/1/1993,86.77
1/1/1994,81.73
1/1/1995,78.2
1/1/1996,77.59
1/1/1997,78.77
1/1/1998,86.4
1/1/1999,91.68
1/1/2000,100
1/1/2001,109.51
1/1/2002,123.14
1/1/2003,137.71
1/1/2004,169.49
1/1/2005,213.02
1/1/2006,247.08
1/1/2007,246.67
1/1/2008,204.11
1/1/2009,172.96
1/1/2010,171.67
1/1/2011,163.9
1/1/2012,163.25
1/1/2013,178.19
1/1/2014,201.73
1/1/2015,213.18
1/1/2016,229.45
1/1/2017,245.13
1/1/2018,261.57
1/1/2019,270.95
1/1/2020,278.57
1/1/2021,310.72
